"","out_B14.5.fq.gz.bam","out_B15.5.fq.gz.bam","out_B17.5.fq.gz.bam","out_B20.fq.gz.bam","out_B34.fq.gz.bam","out_C14.5.fq.gz.bam","out_C15.5.fq.gz.bam","out_C17.5.fq.gz.bam","out_C20.fq.gz.bam","out_C34.fq.gz.bam"
"ENSMUSG00000120174",2,2,1,9,7,0,3,6,3,0
"ENSMUSG00000121027",6,3,4,6,0,3,3,2,4,2
"ENSMUSG00000102353",1,0,0,0,0,3,5,0,3,2
"ENSMUSG00002075640",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000117800",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000024987",0,0,0,1,3,0,1,0,3,1
"ENSMUSG00000117989",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118115",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000069554",0,1,1,0,1,2,0,0,3,0
"ENSMUSG00000054200",0,1,2,1,1,1,1,3,0,1
"ENSMUSG00000118381",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00002075727",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025002",0,0,1,1,0,0,2,1,0,0
"ENSMUSG00002075482",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067231",0,0,0,0,0,2,2,1,3,0
"ENSMUSG00000093610",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000003053",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118146",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000062624",0,0,0,0,0,1,0,1,0,0
"ENSMUSG00000074882",0,1,0,0,0,0,0,1,0,0
"ENSMUSG00000025004",0,0,0,0,1,0,0,1,0,0
"ENSMUSG00000092008",0,0,0,0,0,1,0,1,0,0
"ENSMUSG00000117738",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000042248",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054827",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060613",0,0,0,0,0,0,0,1,0,1
"ENSMUSG00000097740",4,1,1,2,3,0,0,1,1,0
"ENSMUSG00000120438",1,2,1,1,0,2,4,0,1,0
"ENSMUSG00000025014",0,0,0,0,1,2,0,1,2,2
"ENSMUSG00000044065",0,0,0,0,1,0,0,0,0,1
"ENSMUSG00000120900",2,3,7,4,10,7,4,8,1,5
"ENSMUSG00002075271",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000117675",0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000117856",1311,978,825,846,389,1076,879,887,748,290
"ENSMUSG00000025185",2,6,8,7,6,5,7,4,9,5
"ENSMUSG00000077768",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118221",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118308",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000117991",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000092250",14,7,6,6,0,1,4,0,0,0
"ENSMUSG00002074883",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118236",0,1,2,1,1,0,1,0,0,1
"ENSMUSG00000025194",1,3,6,9,10,1,6,11,10,1
"ENSMUSG00000025197",0,2,0,0,2,2,0,0,0,0
"ENSMUSG00000118217",5,5,7,6,8,48,4,6,8,28
"ENSMUSG00000117958",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000117957",1,0,0,0,1,1,0,0,1,0
"ENSMUSG00000050195",21,9,13,3,10,28,11,8,5,8
"ENSMUSG00000118076",0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000117796",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000117911",0,0,0,0,2,1,0,0,0,0
"ENSMUSG00000117967",1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000114673",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000117703",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000117691",0,0,1,0,0,0,0,0,1,0
"ENSMUSG00000118915",0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000079258",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000094219",0,0,1,1,0,1,0,0,0,0
"ENSMUSG00000091230",0,0,1,0,1,2,3,0,5,0
"ENSMUSG00000117702",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000088525",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00001118662",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118149",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000117690",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000117930",2,1,0,2,4,3,1,0,2,0
"ENSMUSG00000118014",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000117996",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118111",0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000117931",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118059",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00002076593",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000117697",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000062083",2,1,2,0,1,1,5,4,1,1
"ENSMUSG00002076015",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118338",0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000065143",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000117806",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118158",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097719",3,1,1,1,0,0,1,1,2,0
"ENSMUSG00000117867",0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000118173",0,0,0,0,0,0,0,0,3,0
"ENSMUSG00000035804",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118114",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118233",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118003",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118314",5,1,9,3,5,1,0,1,4,4
"ENSMUSG00000118350",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000117768",4,9,7,3,0,9,8,6,4,9
"ENSMUSG00000120446",0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000118378",0,0,0,0,0,0,1,0,1,1
"ENSMUSG00000118159",3,3,7,7,5,3,3,7,5,9
"ENSMUSG00000120152",0,0,0,1,1,0,0,1,3,0
"ENSMUSG00000117693",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000117921",1,0,0,0,0,0,1,0,1,0
"ENSMUSG00000118324",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000117755",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118207",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000024979",0,1,1,2,6,6,2,8,6,3
"ENSMUSG00000098289",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000120932",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000117833",0,0,0,0,0,1,1,0,1,0
"ENSMUSG00000117827",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000117695",0,0,0,0,1,1,0,0,0,0
"ENSMUSG00000077223",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000117890",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000117859",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000117696",1,1,0,1,5,0,0,0,1,5
"ENSMUSG00000120396",1,1,5,2,1,1,3,2,2,9
"ENSMUSG00000067063",0,1,2,0,0,0,1,0,0,1
"ENSMUSG00000025082",11,14,22,12,1,10,19,19,15,0
"ENSMUSG00000117927",0,2,0,0,0,0,0,5,1,1
"ENSMUSG00000117655",4,3,2,5,8,5,3,13,12,9
"ENSMUSG00000118178",1,0,0,0,1,0,0,0,0,0
"ENSMUSG00000118248",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000117770",0,0,1,0,1,3,0,0,0,0
"ENSMUSG00000117978",0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000118253",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100001",0,0,0,0,1,0,1,0,1,0
"ENSMUSG00000118223",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101088",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000042179",1,2,0,1,0,1,2,3,0,0
"ENSMUSG00000025091",1,1,0,2,2,0,0,2,1,0
"ENSMUSG00000026931",0,0,0,0,2,1,0,1,1,0
"ENSMUSG00002076056",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000091410",0,3,1,1,0,0,0,0,2,1
"ENSMUSG00000117834",1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110210",3,2,0,0,0,1,0,0,0,1
"ENSMUSG00000100119",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118118",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118031",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118190",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000090965",8,2,2,4,0,0,3,0,1,5
"ENSMUSG00000091378",1,1,1,2,1,2,0,3,5,0
"ENSMUSG00000118166",0,0,0,0,0,0,3,0,0,1
"ENSMUSG00000099678",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000045052",2,3,3,4,3,7,10,12,11,4
"ENSMUSG00000117790",1,0,1,0,1,0,0,0,0,0
"ENSMUSG00000095993",0,0,0,0,0,0,0,0,0,0
